Species,n
Alpine bullhead,31
Black goby,614
Bleak,5488
Bream,2789
Broadnosed pipefish,13
Brown trout,110
Burbot,20
Cod,2568
Crucian carp,60
Dace,598
Eelpout,779
European bullhead,67
European flounder,4363
Fourhorn sculpin,672
Great sand eel,366
Herring,33426
Ide,778
Lesser sand eel,84
Longspined bullhead,66
Minnow,215
Perch,59163
Pike,152
Pikeperch,2593
Roach,39046
Round goby,2671
Rudd,1438
Ruffe,14523
Shorthorn sculpin,2036
Silver bream,7351
Smelt,5449
Sprat,3599
Straightnose pipefish,90
Tench,294
Three-spined stickleback,1821
Turbot,70
Vendace,1048
Vimba,474
Whitefish,3184
NA,18074
